Fp1,Fp2,C3,C4,Delta,Theta,Alpha,Beta,Gamma
214.41015625,227.1875,120.26171875,158.609375,45368.02771183118,35774.720000103494,8758.83999927302,3837.8216156371027,5048.303676971234
143.45703125,151.14453125,169.15234375,160.7734375,48354.403563171625,68573.07147495636,26352.963852368506,11668.94902966381,4824.0163424946095
135.96484375,140.6171875,144.20703125,140.39453125,6430.552770882223,2498.739385393741,386.83355281532874,2027.4573646047509,4084.1586114889597
205.5390625,197.6953125,168.8046875,172.41796875,24910.30854766871,27768.43122402954,9842.433551842661,8341.46379396014,4539.929382629947
97.37890625,99.79296875,137.8828125,139.1640625,7205.124291574147,6818.190586405579,2271.9615454739455,2816.5420001628922,4691.364900840794
126.37890625,135.3515625,150.43359375,155.7890625,1352.1214886351565,1363.5459105870314,1169.8413981448539,2741.7884325222362,5335.325135920824
160.28125,146.765625,151.44921875,145.83984375,881.1803652641228,1412.1484252119183,1256.3520516312838,2101.4435188722914,5016.120500656083
134.58203125,142.78515625,149.50390625,156.1875,923.4932982862741,818.6544078682177,628.4438645973653,3951.8790921694244,5405.307401597612
144.73046875,157.5703125,150.61328125,152.078125,13568.846501262544,10611.468017550054,3537.6461202965074,3666.913184795329,5084.223957611271
160.01953125,154.796875,156.9453125,156.41796875,4992.721693102835,3293.1956957029747,2194.557938293734,2989.7718011192937,5030.671079211426
121.6953125,121.38671875,135.9296875,132.36328125,33694.54671086933,10150.924535343287,4224.833835476228,3528.4602199932433,5387.206464074765
168.3984375,164.89453125,166.578125,162.72265625,2208.8089457599694,1419.2262384492215,1165.5147823527436,4042.9180031433198,5104.646515095739
140.41015625,132.5390625,162.82421875,154.06640625,4251.681945016797,3126.555318515673,1380.0206846507408,4374.654423209668,5225.464215585925
139.8984375,135.2890625,146.7890625,154.0546875,4759.846203355607,6694.586122364327,2905.9602694107225,6780.936440134919,5304.3496766944845
148.51953125,151.765625,131.8515625,131.6953125,4652.368303589367,3595.376290169467,3299.1351163028767,2951.381782950514,5455.0750404253995
145.9375,145.95703125,173.5625,170.28515625,2041.8201908219125,1647.3215557699812,1717.1027000301265,3513.8387297990075,5002.3932198155035
147.3359375,149.10546875,146.3203125,144.8125,2459.42807030609,2246.657461048104,386.48142894765147,2229.9423629913586,5129.359303324326
148.41015625,145.51171875,154.203125,154.47265625,26371.69658412275,7659.052201660448,1592.4099210363502,2592.926654436399,5110.336802984211
139.30078125,139.48828125,143.46484375,144.3203125,1053.9723712820837,837.2685239467338,1751.2901112480697,3881.6406974422507,5436.514420128329
150.96484375,149.5859375,156.515625,161.7421875,11715.05774129622,1591.192426775136,1373.0224507958908,6378.912092056022,5184.662442489897
135.74609375,136.8828125,147.0234375,143.97265625,2231.0225136989147,1118.2974901996392,1146.0675478865685,2178.524795374771,5181.816660244467
153.13671875,152.8046875,156.53125,153.2578125,1487.8162579860043,2133.2041082398528,1343.824577328086,2762.2362218626167,5430.143509582162
140.11328125,142.26171875,151.609375,154.44140625,4907.842225939427,5539.476949489047,2550.1348987781666,5774.219603733927,5657.740107945401
153.21875,156.2109375,155.81640625,161.875,73521.27949014789,13654.712402136143,4246.101349284017,3421.6563417376965,5423.081390692701
139.7109375,129.265625,153.5703125,140.54296875,2045.6912247192836,1481.0386474580444,1202.9177760353043,3303.0261614200735,5350.520292723048
147.125,142.9296875,154.7421875,154.20703125,3071.676722502988,3297.7890762836096,2043.2595018808452,3960.311088504954,5327.503829698759
137.15234375,150.18359375,139.74609375,148.046875,45293.6500691969,27069.20469930836,3795.638723456619,2930.231804593592,5459.766716281617
147.0078125,142.62890625,148.9921875,163.96875,16355.674199371224,6222.475223944078,2123.213216365371,5626.766907059484,4719.170414498715
142.04296875,134.12890625,157.015625,134.24609375,1761.6656922853495,1912.5874420794491,1863.024991300136,7964.370690143937,4670.150438525459
147.87109375,155.2890625,156.046875,158.44921875,1598.8732065431718,1268.3514909640412,1704.7655089886423,2744.7891046038085,4769.534093520264
132.2109375,133.53125,181.55859375,157.1640625,17456.259673694633,8042.187675055196,1571.3260959013717,2289.9855677795417,4543.788156826924
168.69140625,163.4375,128.48828125,154.08984375,3119.443354169418,1332.2899603864748,1475.199582868386,2457.2985141298923,4800.949904051644
145.1953125,143.91796875,144.29296875,144.28125,1731.314069912402,1302.4611868473985,1037.5112064402053,4057.4403034300994,4549.284556823013
141.078125,144.9296875,155.046875,153.4375,1344.9486151672006,1737.549709410624,1061.4965780737534,2712.072918233145,4538.123790086117
130.78125,130.5,145.3203125,150.80859375,9771.43437001921,13542.024557064622,3145.559861897729,2418.1187704972476,4468.846037482404
166.86328125,168.73828125,154.87890625,153.58984375,1610.9039316039602,1456.3071223419252,909.7620029343954,2152.1029613125825,5075.492614607643
153.9921875,145.3125,163.828125,158.43359375,4333.885025518849,3471.486248199344,1456.6540087796725,2274.5055716716306,5042.031388722553
137.9140625,154.3671875,148.171875,166.08984375,3463.1869820301677,3178.3762278462436,1109.5874935620232,3317.812259288932,5567.327050521372
147.76171875,129.8828125,157.81640625,127.60546875,5156.044748105221,2457.6453237515802,1117.9550293251357,6545.031391474389,5534.474887377141
126.0234375,130.76953125,135.44921875,147.74609375,33642.90889360503,44711.57165261036,10900.2647794928,5642.48581056167,5410.426201794572
170.609375,165.8984375,165.796875,165.77734375,2525.1249452150673,1618.7047108869508,1206.0191258854704,3978.4819091710606,5837.840387624455
127.05859375,128.046875,144.6015625,141.28125,6215.5025741878035,5119.787583985292,1455.9428538808747,5072.9005508342525,5273.824471582579
156.5703125,160.36328125,163.66796875,159.29296875,2985.1513397145895,2436.090745736499,529.3613525401115,3240.207625386891,5635.669038314164
147.3203125,147.796875,140.01171875,144.375,4812.716610512664,3755.8317126077386,1365.3955205509458,2346.7148756741,5442.622159346747
141.609375,139.87890625,156.09375,155.91796875,3651.527388217111,1746.8941662612801,2280.944527048423,6554.391421483963,5682.938793015262
147.5078125,150.3359375,158.80859375,158.0703125,2776.8956248804798,2282.0728071251333,1264.3777803153089,4043.144304434621,5751.297731589609
147.35546875,142.65234375,169.57421875,149.5859375,10562.218668499365,3072.9021262422184,2041.887930448684,4196.198536422024,5777.207795583185
225.0234375,209.1328125,123.23828125,184.09375,17140.71280748554,26262.79031733628,8791.539571426378,5982.830682718987,5854.360618953793
76.23046875,83.73828125,167.99609375,115.73828125,2626.940141982145,1101.5789412336997,630.014707010426,4289.098868306869,5589.429784728093
127.6015625,136.87890625,140.171875,147.56640625,2402.844299511199,1723.7358915186787,1971.6700042070015,3753.9670988708754,5516.819871749222
140.76171875,155.7578125,140.66796875,160.75,57200.63251346502,14070.607718557774,4002.6039302344134,5387.492436072705,5697.707002332125
141.9609375,134.06640625,155.8203125,148.73046875,14000.17424044767,8806.428656146,3085.392202081642,3548.0509494632843,5422.058486005549
155.234375,144.76171875,165.140625,147.19140625,1961.731418966583,6269.7687830160985,2660.763684591962,3626.827421949647,6104.433676355766
145.46484375,148.5859375,154.3359375,161.9296875,1804.8572142675225,1833.0404773663827,1278.805225118387,4464.877834170572,5527.591040796023
152.62890625,148.15234375,158.08984375,158.90234375,1817.3649740018404,1192.7422959457294,1017.8893416754231,5353.285756027482,5881.983491463643
109.95703125,115.296875,125.25390625,137.6796875,58245.57663519461,17882.65562359374,7742.678542277695,3071.161332386395,5873.440583951731
